id,comment,company_id,car_id,user_id,created_at,updated_at,km,performed,status,payment_method_id,company_info,budget_id,deliver,deliver_actual
12668,,12,9134,1199,2013-02-04 10:47:53 -0300,2013-02-05 17:14:20 -0300,22700,2013-02-04,4,1,"",,,
12669,,12,9135,1199,2013-02-04 10:57:23 -0300,2013-02-05 17:14:36 -0300,8000,2013-02-04,4,1,"",,,
12672,,12,9138,1199,2013-02-04 11:28:29 -0300,2013-02-05 12:24:25 -0300,1,2013-02-04,4,1,"",,,
12677,,12,9143,1199,2013-02-04 16:16:36 -0300,2013-02-05 17:15:27 -0300,54873,2013-02-04,4,1,"",,,
12679,,12,9145,1199,2013-02-04 16:36:25 -0300,2013-02-05 17:15:43 -0300,200000,2013-02-04,4,1,"",,,
12680,,12,9146,4,2013-02-04 16:40:31 -0300,2013-02-05 17:16:23 -0300,120000,2013-02-04,4,3,"",,,
12681,,12,7834,1199,2013-02-04 16:48:05 -0300,2013-02-05 17:17:07 -0300,34000,2013-02-04,4,1,"",,,
12682,,12,9147,4,2013-02-04 16:51:31 -0300,2013-02-05 17:17:28 -0300,87824,2013-02-04,4,1,"",,,
12685,,12,9149,1199,2013-02-04 17:21:06 -0300,2013-02-05 17:17:53 -0300,65000,2013-02-04,4,2,"",,,
12686,,12,9150,4,2013-02-04 17:24:45 -0300,2013-02-05 17:19:35 -0300,28200,2013-02-04,4,1,"",,,
12687,,12,9151,4,2013-02-04 17:30:58 -0300,2013-02-05 17:19:53 -0300,374516,2013-02-04,4,1,"",,,
12690,,12,9154,1199,2013-02-04 17:48:20 -0300,2013-02-05 17:19:12 -0300,76000,2013-02-04,4,3,"",3770,,
12691,,12,9155,1199,2013-02-04 18:04:09 -0300,2013-02-05 17:20:16 -0300,62200,2013-02-04,4,3,"",3911,,
12694,,12,7198,1199,2013-02-04 18:28:13 -0300,2013-02-05 17:20:47 -0300,33000,2013-02-04,4,3,"",3898,,
12696,,12,5483,1199,2013-02-04 18:46:14 -0300,2013-02-05 18:04:39 -0300,122000,2013-02-04,4,3,"",,,
12701,,12,5483,1199,2013-02-04 20:10:39 -0300,2013-02-05 18:05:15 -0300,122000,2013-02-04,4,1,"",,,
